date,village_latitude,village_longitude,temperature,humidity,wind_speed,wind_direction,precipitation,cloud_cover
1999-07-10,-22.630231576205357,-52.22684247354167,20.0,63,15.5,89,0.0,0
1999-07-12,-22.630231576205357,-52.22684247354167,22.1,61,17.4,77,0.0,2
1999-07-15,-22.630231576205357,-52.22684247354167,24.8,58,12.2,56,0.0,15
1999-08-04,-22.630231576205357,-52.22684247354167,22.5,51,12.3,87,0.0,0
1999-08-24,-22.630231576205357,-52.22684247354167,26.6,39,17.1,65,0.0,7
1999-08-29,-22.630231576205357,-52.22684247354167,31.8,33,9.5,79,0.0,0
1999-09-02,-22.630231576205357,-52.22684247354167,31.9,24,19.2,23,0.0,0
1999-09-16,-22.630231576205357,-52.22684247354167,24.0,43,5.8,90,0.0,95
1999-10-14,-22.630231576205357,-52.22684247354167,34.3,36,14.3,39,0.0,98
1999-11-02,-22.630231576205357,-52.22684247354167,28.5,50,12.3,50,0.0,100
1999-11-06,-22.630231576205357,-52.22684247354167,24.4,51,3.2,207,0.0,84
1999-12-15,-22.630231576205357,-52.22684247354167,29.2,47,13.9,253,0.0,95
2000-01-14,-22.630231576205357,-52.22684247354167,32.3,58,11.0,341,0.0,20
2000-01-21,-22.630231576205357,-52.22684247354167,30.6,52,4.9,17,0.0,55
2000-01-28,-22.630231576205357,-52.22684247354167,29.4,43,13.5,81,0.0,2
2000-03-09,-22.630231576205357,-52.22684247354167,26.3,57,13.0,92,0.0,87
2000-03-19,-22.630231576205357,-52.22684247354167,26.4,69,14.7,73,0.1,100
2000-03-31,-22.630231576205357,-52.22684247354167,26.0,68,7.9,43,0.0,100
2000-04-13,-22.630231576205357,-52.22684247354167,30.4,48,9.7,292,0.0,2
2000-04-30,-22.630231576205357,-52.22684247354167,29.1,44,13.1,53,0.0,18
2000-06-24,-22.630231576205357,-52.22684247354167,25.4,53,15.9,18,0.0,18
2000-07-07,-22.630231576205357,-52.22684247354167,25.0,54,14.7,31,0.0,26
2000-07-25,-22.630231576205357,-52.22684247354167,18.0,60,6.4,117,0.0,34
2000-08-07,-22.630231576205357,-52.22684247354167,24.2,62,9.1,81,0.0,31
2000-08-10,-22.630231576205357,-52.22684247354167,25.5,56,4.0,180,0.0,50
2000-08-16,-22.630231576205357,-52.22684247354167,24.4,71,12.8,74,0.5,75
2000-08-24,-22.630231576205357,-52.22684247354167,29.3,37,9.7,51,0.0,42
2000-09-05,-22.630231576205357,-52.22684247354167,20.3,66,10.1,88,0.0,43
2000-09-06,-22.630231576205357,-52.22684247354167,21.6,67,11.9,93,0.0,61
2000-09-23,-22.630231576205357,-52.22684247354167,28.7,54,15.4,53,0.0,20
2000-09-26,-22.630231576205357,-52.22684247354167,20.6,54,14.1,105,0.0,10
2000-10-18,-22.630231576205357,-52.22684247354167,33.4,41,10.0,26,0.0,35
2000-11-08,-22.630231576205357,-52.22684247354167,29.2,51,14.7,68,0.0,87
2001-01-15,-22.630231576205357,-52.22684247354167,29.6,66,6.6,49,0.2,56
2001-01-22,-22.630231576205357,-52.22684247354167,28.7,63,9.1,34,0.0,100
2001-01-25,-22.630231576205357,-52.22684247354167,29.9,66,5.8,22,0.1,58
2001-01-30,-22.630231576205357,-52.22684247354167,30.9,64,10.1,356,0.3,54
2001-02-24,-22.630231576205357,-52.22684247354167,30.1,71,7.5,35,0.2,34
2001-03-20,-22.630231576205357,-52.22684247354167,28.4,72,6.3,24,0.3,88
2001-09-26,-22.630231576205357,-52.22684247354167,24.1,82,14.0,316,0.2,100
2001-10-18,-22.630231576205357,-52.22684247354167,28.6,65,6.6,49,0.0,35
2001-11-27,-22.630231576205357,-52.22684247354167,31.2,61,4.2,340,0.0,58
